Title,Code,Description,Sector Name,Level,Maximum Notational Hours,Minimum Notational Hours,Version,Originally Approved,Valid Till,Awarding Body,Certifying Bodies,Proposed Occupation,Progression Pathway,Qualifcation Type,Adopted Qualifcation,Training Delivery Hours,NQR code,Qf link,pdf_number
Introduction To Confined Space Challenges & Safety Measures,NM-03-ET-04312-2025-V1-SSDF,"The confined spaces like ducts, vessels, boilers, culverts, tunnels, boreholes, manholes, excavations, sumps, inspection pits, experimental hutches etc., present potential hazards to individuals working within them due to factors such as restricted ventilation, limited mobility, and the presence of hazardous substances. The MC deals with confined space safety challenges for workers and measures to be taken, training & emergency preparedness.","Education, Training & Research",Level 3,15 Hours,15 Hours,Version ,08 May 2025,08 May 2028,Safety Skill Development Foundation,SAFETY SKILL DEVELOPMENT FOUNDATION,Construction Engineering & Management,,Micro Credentials,N.A.,"{""Theory"":""8"",""Practical"":""7"",""EmployabilitySkills"":""0"",""OJT_Mandatory"":""0""}",NM-03-ET-04312-2025-V1-SSDF,https://www.nqr.gov.in/qualification/file/Q%20FILE-%20Introduction%20To%20Confined%20Space%20Challenges%20&%20Safety%20Measures%20%28English%29.pdf,2020
Mine Electrician,QG-04-MG-04060-2025-V2-SCMS,"Mine Electrician ensures installation, operation and maintenance (O&M) of the electrical substations, equipment and electrical supply system. The role holder also ensures that all the electrical systems and machinery work is in accordance with relevant specifications for opencast and underground mines (including gassy mines).",Mining,Level 4,600 Hours,420 Hours,Version ,06 May 2025,06 May 2028,Skill Council for Mining Sector (SCMS),Skill Council for Mining Sector,Electrical Services,NSQF Level 5 (Vertical)- Electrical Supervisor (to be developed),General Qualification,N.A.,"{""Theory"":""90"",""Practical"":""300"",""EmployabilitySkills"":""30"",""OJT_Mandatory"":""0""}",QG-04-MG-04060-2025-V2-SCMS,https://www.nqr.gov.in/qualification/file/Q_File_Mine%20Electrician_03.07.2025.pdf,2021
Mine Welder,QG-04-MG-04062-2025-V2-SCMS,"A mine welder is responsible for joining various types of metallic frames, structures, jigs, plates, sheets etc. using heating and melting process created through electrical power and gaseous discharge, maintaining process parameters, conducting quality checks on output product and maintaining a safe and healthy working environment.",Mining,Level 4,630 Hours,480 Hours,Version ,06 May 2025,06 May 2028,Skill Council for Mining Sector (SCMS),Skill Council for Mining Sector,Mechanical Services,NSQF Level 5 (Vertical) : Mechanical Supervisor – Workshop (to be developed),General Qualification,N.A.,"{""Theory"":""100"",""Practical"":""350"",""EmployabilitySkills"":""30"",""OJT_Mandatory"":""0""}",QG-04-MG-04062-2025-V2-SCMS,https://www.nqr.gov.in/qualification/file/QFile_Mine%20Welder_04.07.2025.pdf,2022
Fitter - Fabrication,QG-03-CG-03932-2025-V2-CGSSC,"This OS unit is about following the appropriate health and safety practices at work. It covers
responsibilities towards self and others to ensure a safe work environment.",Capital Goods & Manufacturing,Level 3,390 Hours,390 Hours,Version ,30 Apr 2025,30 Apr 2028,Capital Goods and Strategic Skill Council (CGSSC),Capital Goods and Strategic Skills Council,Fitter - Fabrication,"Senior Welder(Pipes &Plates)- 4, Senior Tungsten Inert Gas Welder -5",Multi-Skill Qualification,N.A.,"{""Theory"":""120"",""Practical"":""180"",""EmployabilitySkills"":""30"",""OJT_Mandatory"":""60""}",QG-03-CG-03932-2025-V2-CGSSC,https://www.nqr.gov.in/qualification/file/QF-Fitter%20-%20Fabrication.pdf,2023
Fitter - Mechanical Assembly,QG-03-CG-03933-2025-V2-CGSSC,"The incumbent in the job is responsible for performing machining, fitting and assembly activities to
produce machinery or machine components of required features and specifications.",Capital Goods & Manufacturing,Level 3,390 Hours,390 Hours,Version ,30 Apr 2025,30 Apr 2028,Capital Goods and Strategic Skill Council (CGSSC),Capital Goods and Strategic Skills Council,Fitter - Mechanical Assembly,"Fitter- Mechanical Maintenance, Predictive Maintenance Engineer",Multi-Skill Qualification,N.A.,"{""Theory"":""120"",""Practical"":""210"",""EmployabilitySkills"":""30"",""OJT_Mandatory"":""30""}",QG-03-CG-03933-2025-V2-CGSSC,https://www.nqr.gov.in/qualification/file/QF-Fitter%20-%20Mechanical%20Assembly.pdf,2024
CNC Programmer,QG-05-CG-03928-2025-V2-CGSSC,"A CNC Programmer is responsible for programming commercial Computer Numerical Control (CNC) factory machines that turn raw materials such as plastic and metals into usable components. The individual is responsible for interpreting technical blueprints, inputting the design specifications, adjusting the machine cutting paths, and performing quality checks on the final product to ensure the desired specifications are achieved. The person is also responsible for carrying out routine machine maintenance and troubleshooting any issues encountered during the manufacturing process.",Capital Goods & Manufacturing,Level 4,540 Hours,540 Hours,Version ,30 Apr 2025,30 Apr 2028,Capital Goods and Strategic Skill Council (CGSSC),Capital Goods and Strategic Skills Council,CNC Programmer,Multi-Axis CNC Machine Engineer,Multi-Skill Qualification,N.A.,"{""Theory"":""150"",""Practical"":""270"",""EmployabilitySkills"":""60"",""OJT_Mandatory"":""60""}",QG-05-CG-03928-2025-V2-CGSSC,https://www.nqr.gov.in/qualification/file/QF-CNC%20Programmer.pdf,2025
Electro Discharge Machine (EDM) Operator,QG-04-CG-03941-2025-V2-CGSSC,A CNC Setter and Operator - Electro Discharge Machine (Spark Erosion) is responsible for setting up the Computer Numerically Controlled (CNC) Electro Discharge Machine (EDM) for use and operating it as per the standard procedure to machine a variety of ferrous and non-ferrous metal components.,Capital Goods & Manufacturing,Level 4,450 Hours,450 Hours,Version ,30 Apr 2025,30 Apr 2028,Capital Goods and Strategic Skill Council (CGSSC),Capital Goods and Strategic Skills Council (CGSSC),Electro Discharge Machine (EDM) Operator,"Tool & Die Maker , Metal Fabrication Engineer",Multi-Skill Qualification,N.A.,"{""Theory"":""120"",""Practical"":""240"",""EmployabilitySkills"":""30"",""OJT_Mandatory"":""60""}",QG-04-CG-03941-2025-V2-CGSSC,https://www.nqr.gov.in/qualification/file/QF-Electrodischarge%20Machine%28EDM%29.pdf,2026
Inland Capture Fisherman cum Primary Processor,QG-03-AG-03920-2025-V2-ASCI,"An Inland Capture Fisherman cum Primary Processor is responsible for capturing different species of fish in 
inland water bodies such as rivers and lakes and carrying out primary fish processing. The individual is also 
responsible for using and maintaining the fishing craft and gear along with other equipment used in inland 
capture fisheries. The person may also prepare fish-based products.",Agriculture,Level 3,270 Hours,270 Hours,Version ,08 May 2025,30 Apr 2028,Agriculture Skill Council of India (ASCI),Agriculture Skill Council of India,"Fisherman, Inland Water","Inland Capture Fisherman cum Primary Processor (L3), Freshwater aquaculture Farmer (L4)","Apprenticeship Qualification,General Qualification,Upskilling Qualification",N.A.,"{""Theory"":""60"",""Practical"":""150"",""EmployabilitySkills"":""60"",""OJT_Mandatory"":""0""}",QG-03-AG-03920-2025-V2-ASCI,https://www.nqr.gov.in/qualification/file/English_QF-Inland%20Capture%20Fisherman%20cum%20Primary.pdf_.pdf,2027
Marine Capture Fisherman cum Primary Processor,QG-03-AG-03918-2025-V2-ASCI,"A Marine Fisher cum Primary Processor is responsible for capturing a variety of marine fish. The individual 
uses and maintains the relevant equipment and boat/vessel during the operations. The person is also 
responsible for maintaining the quality of the captured fish and marketing it.",Agriculture,Level 3,270 Hours,270 Hours,Version ,08 May 2025,30 Apr 2028,Agriculture Skill Council of India (ASCI),Agriculture Skill Council of India,"Fisherman, Deep Sea/Marine Capture Fisherman",Deep Sea Fisher (L4),"Apprenticeship Qualification,General Qualification,Upskilling Qualification",N.A.,"{""Theory"":""70"",""Practical"":""140"",""EmployabilitySkills"":""60"",""OJT_Mandatory"":""0""}",QG-03-AG-03918-2025-V2-ASCI,https://www.nqr.gov.in/qualification/file/QF-English_Marine%20Capture%20Fisherman%20cum%20Primary%20Processor_13.pdf,2028
Duty Manager (Patient Relation Services),QG-06-HE-04224-2025-V2-HSSC,"The individual at this job are involved in planning, organizing, directing and controlling Inpatient & outpatient services. They also collaborate with other department to design, develop and implement process & services of the center. They should be able to adapt with new advancements/software/apps in hospital management systems. Individuals would  keep oneself abreast with with revision of hospital biiling structure, government schemes and policies related to TPA and insurance services.",Healthcare,Level 6,600 Hours,600 Hours,Version ,08 May 2025,08 May 2028,Healthcare Sector Skill Council (HSSC),Healthcare sector skill council,Healthcare Administration,"Vertical Mobility
NSQF Level 7: Hospital Administrator (to be developed)","Apprenticeship Qualification,General Qualification,National Occupational Standard",N.A.,"{""Theory"":""270"",""Practical"":""150"",""EmployabilitySkills"":""90"",""OJT_Mandatory"":""90""}",QG-06-HE-04224-2025-V2-HSSC,https://www.nqr.gov.in/qualification/file/QF_HSSQ6104_DM.en.pdf,2029
Assistant Manual Metal Arc Welding/Shielded Metal Arc Welding Welder,QG-02-CG-03939-2025-V2-CGSSC,"The incumbent in the job is primarily involved in all manual metal arc welding (MMAW) and gas cutting
operations performed on carbon and low alloy steels. They support the welder in activities such as
inspection of equipment condition, welding, testing and inspection of welded work pieces.",Capital Goods & Manufacturing,Level 2,270 Hours,270 Hours,Version ,30 Apr 2025,30 Apr 2028,Capital Goods and Strategic Skill Council (CGSSC),Capital Goods and Strategic Skills Council,Assistant Manual Metal Arc Welding / Shielded Metal Arc Welding Welder,"Manual Metal Arc Welding / Shielded Metal Arc Welding Welder , Senior Welder (Pipes & Plates)",Multi-Skill Qualification,N.A.,"{""Theory"":""75"",""Practical"":""165"",""EmployabilitySkills"":""30"",""OJT_Mandatory"":""0""}",QG-02-CG-03939-2025-V2-CGSSC,https://www.nqr.gov.in/qualification/file/QF%20-Assistant%20Manual%20Metal%20Arc%20Welding%20Shielded%20Metal%20Arc%20Welding%20Welder.pdf,2030
Mariculture Farmer,QG-04-AG-03908-2025-V2-ASCI,"A Mariculture Farmer is responsible for managing the overall operations of a mariculture farm including the fabrication and installation of pens/ rafts/ cages, procuring and stocking seeds, maintaining the stocked organisms and harvesting them on maturity. The person may also carry out pearl culture to produce pearls by rearing pearl oysters.",Agriculture,Level 4,450 Hours,390 Hours,Version ,08 May 2025,31 Oct 2025,Agriculture Skill Council of India (ASCI),Agriculture Skill Council of India,Aquaculture Workers,"Mariculture Farmer (L4), Aquaculture Technical Supervisor (L5)","Apprenticeship Qualification,General Qualification,Upskilling Qualification",N.A.,"{""Theory"":""90"",""Practical"":""180"",""EmployabilitySkills"":""60"",""OJT_Mandatory"":""60""}",QG-04-AG-03908-2025-V2-ASCI,https://www.nqr.gov.in/qualification/file/English_Q-file_Mariculture%20Farmer.pdf,2031
Fundamentals of Retail Business,NG-03-OR-04253-2025-V1-RASCI,"This occupational standard outlines the fundamental skills and knowledge required to engage with customers, identify their needs, demonstrate product features and benefits based on those needs, handle basic objections, and assist in the payment process in a retail environment",Retail,Level 3,60 Hours,60 Hours,Version ,08 May 2025,08 May 2028,Retailers Association Skill Council of India (RASCI),Retailers Association’s Skill Council of India (RASCI),Store Operations,N A,"General Qualification,National Occupational Standard,Upskilling Qualification",N.A.,"{""Theory"":""25"",""Practical"":""35"",""EmployabilitySkills"":""0"",""OJT_Mandatory"":""0""}",NG-03-OR-04253-2025-V1-RASCI,https://www.nqr.gov.in/qualification/file/QF_NOS_2.pdf,2032
Communicative English Trainer,QG-05-ET-04093-2025-V2-ASAP,"Individuals at this job are responsible for training young learners spread over diverse professional environments to develop their language skills by leveraging their training & domain knowledge in English. They should be able to render training in English in a structured, deliberate manner in order to inform, influence, and educate the learners","Education, Training & Research",Level 5,540 Hours,540 Hours,Version ,30 Dec 2021,08 May 2028,"Additional Skill Acquisition Programme, Government of Kerala","Additional Skill Acquisition Programme, Government of Kerala",Communicative English Trainer,"English Language trainer/soft skill trainer, Master Trainer, Consultant/Advisor, Team Leader(Training)",General Qualification,N.A.,"{""Theory"":""199"",""Practical"":""251"",""EmployabilitySkills"":""30"",""OJT_Mandatory"":""90""}",QG-05-ET-04093-2025-V2-ASAP,https://www.nqr.gov.in/qualification/file/Q%20file_CET_English.pdf,2033
Fundamentals of AI and IoT in Customer Engagement (Omnichannel Retail),NG-4.5-OR-04255-2025-V1-RASCI,"This National Occupational Standard (NOS) outlines the competencies required for professionals in retail who aim to excel in omnichannel strategies for customer experience management, leveraging advanced technologies such as AI and IoT. Its objective is to equip retail managers and executives with the skills to design, implement, and evaluate integrated marketing strategies that enhance customer engagement and satisfaction across multiple channels. This NOS is intended for retail professionals looking to future-proof their operations and drive innovation in a rapidly evolving market.",Retail,Level 4.5,120 Hours,120 Hours,Version ,08 May 2025,08 May 2028,Retailers Association Skill Council of India (RASCI),Retailers Association’s Skill Council of India (RASCI),Store operations; Sales operations,N A,"Future Skills Qualification,National Occupational Standard,Upskilling Qualification",N.A.,"{""Theory"":""50"",""Practical"":""70"",""EmployabilitySkills"":""0"",""OJT_Mandatory"":""0""}",NG-4.5-OR-04255-2025-V1-RASCI,https://www.nqr.gov.in/qualification/file/QF_NOS_AI_IOT.pdf,2034
CNC Operator - Vertical Machining Centre,QG-04-CG-03926-2025-V2-CGSSC,"A CNC Operator - Vertical Machining Centre is responsible for setting up Vertical Machining Centre (VMC),cutting tools and work holding devices for machining a variety of metal and non-metal components as per the given specifications. The individual conducts trial runs, proves the program in single block mode, and performs the necessary checks before allowing the machine to operate in full program run mode.",Capital Goods & Manufacturing,Level 4,450 Hours,450 Hours,Version ,30 Apr 2025,30 Apr 2028,Capital Goods and Strategic Skill Council (CGSSC),Capital Goods and Strategic Skills Council,CNC Operator - Vertical Machining Centre,"CNC Programmer , Multi Axis CNC Engineer",Multi-Skill Qualification,N.A.,"{""Theory"":""120"",""Practical"":""240"",""EmployabilitySkills"":""30"",""OJT_Mandatory"":""60""}",QG-04-CG-03926-2025-V2-CGSSC,https://www.nqr.gov.in/qualification/file/QF-CNC%20Operator%20Vertical%20Machining%20Centre.pdf,2035
Introduction to Retail Data Analytics,NG-4.5-OR-04252-2025-V1-RASCI,"This occupational standard focuses on essential competencies for effectively collecting, organizing, and analyzing retail data. Participants will learn to utilize tools such as POS systems and spreadsheets to validate data, analyze sales trends, and understand consumer behavior.",Retail,Level 4.5,120 Hours,120 Hours,Version ,08 May 2025,08 May 2028,Retailers Association Skill Council of India (RASCI),Retailers Association’s Skill Council of India (RASCI),Store Operations,N A,"Future Skills Qualification,National Occupational Standard,Upskilling Qualification",N.A.,"{""Theory"":""50"",""Practical"":""70"",""EmployabilitySkills"":""0"",""OJT_Mandatory"":""0""}",NG-4.5-OR-04252-2025-V1-RASCI,https://www.nqr.gov.in/qualification/file/QF_NOS_Analytics.pdf,2036
Deputy Duty Manager (Patient Relation Services),QG-5.5-HE-04223-2025-V2-HSSC,"The individual at this job maintains a professional work environment in hospital settings by rendering knowledge and skills of team supervision, administrative support, supervisory support, office harmony, crisis handling, office morale, customer service. They assist for planning, implementing and monitoring daily activities of  Inpatient & outpatient services. They should be able to adapt with new advances/software/apps in hospital management systems. Individuals would keep oneself abreast with revision of hospital billing structure, government schemes and policies related to TPA and insurance services.",Healthcare,Level 5.5,600 Hours,600 Hours,Version ,08 May 2025,08 May 2028,Healthcare Sector Skill Council (HSSC),Healthcare sector skill council,Healthcare Administration,"NSQF Level 6: Duty Manager (Patient relation Services) , Healthcare Quality Assurance Manager","Apprenticeship Qualification,General Qualification,National Occupational Standard",N.A.,"{""Theory"":""270"",""Practical"":""150"",""EmployabilitySkills"":""90"",""OJT_Mandatory"":""90""}",QG-5.5-HE-04223-2025-V2-HSSC,https://www.nqr.gov.in/qualification/file/QF_STT_DDM-PRS.en..pdf,2037
Ayurveda Ahara and Poshana Sahayak,QG-03-HE-04228-2025-V2-HSSC,An Ayurveda Ahara & Poshana Sahayak (Ayurveda Diet & Nutrition Assistant) works under the supervision of an Ayurveda Dietician and coordinates with the Ayurveda cook for food preparation as per Ayurvedic principles. They also help Ayurveda Dietician in performing basic clerical functions including storekeeping and record maintenance at workplace,Healthcare,Level 3,420 Hours,420 Hours,Version ,17 Nov 2022,08 May 2028,Healthcare Sector Skill Council (HSSC),Healthcare Sector Skill Council,Ayurveda Diet,Level 4: Yoga Therapy Assistant,"Apprenticeship Qualification,General Qualification,Upskilling Qualification",N.A.,"{""Theory"":""120"",""Practical"":""150"",""EmployabilitySkills"":""30"",""OJT_Mandatory"":""120""}",QG-03-HE-04228-2025-V2-HSSC,https://www.nqr.gov.in/qualification/file/QF%20Ayurveda%20Ahara%20and%20Poshan%20Sahayak.pdf,2038
Ayurveda Dietician,QG-06-HE-04229-2025-V2-HSSC,"An Ayurveda Dietician prepares a diet plan that provides guidelines about when to eat, what to eat, and how to boost health, prevent or manage disease, and maintain wellness. The primary role is to assess nutritional needs and prescribe an ayurvedic diet plan for the client (healthy individual as well as for diseased person). They also supervise and instruct related professionals in preparation of therapeutic or other diets in hospitals, institutions or other establishments",Healthcare,Level 6,570 Hours,570 Hours,Version ,20 Nov 2020,08 May 2028,Healthcare Sector Skill Council (HSSC),Healthcare Sector Skill Council,Ayurveda Diet,Not Applicable,"Apprenticeship Qualification,General Qualification,Upskilling Qualification",N.A.,"{""Theory"":""150"",""Practical"":""300"",""EmployabilitySkills"":""60"",""OJT_Mandatory"":""60""}",QG-06-HE-04229-2025-V2-HSSC,https://www.nqr.gov.in/qualification/file/QF%20Ayurveda%20Dietician%20%281%29.pdf,2039
Cupping Therapy Assistant,QG-03-HE-04230-2025-V2-HSSC,A Cupping Therapy Assistant is an allied healthcare professional who assists an AYUSH practitioner in carrying out dry and wet cupping therapy which is creating suction by placing heated cups on skin by hand.,Healthcare,Level 3,420 Hours,420 Hours,Version ,20 Nov 2020,08 May 2028,Healthcare Sector Skill Council (HSSC),Healthcare Sector Skill Council,Unani Therapy,Not Applicable,"Apprenticeship Qualification,General Qualification",N.A.,"{""Theory"":""120"",""Practical"":""150"",""EmployabilitySkills"":""30"",""OJT_Mandatory"":""120""}",QG-03-HE-04230-2025-V2-HSSC,https://www.nqr.gov.in/qualification/file/QF%20Cupping%20Therapy%20Assistant.pdf,2040
Panchakarma Technician,QG-4.5-HE-00649-2025-V2-HSSC,"The individuals in this job provide panchakarma therapy as per the prescription by creating appropriate and conducive ambience, and ensuring the availability of required materials, herbs and related formulations. These professionals provide support to individuals before, during and after therapy. They also perform basic administrative functions, including record maintenance of daily activities at work place",Healthcare,Level 4.5,1200 Hours,1200 Hours,Version ,28 Jul 2022,08 May 2028,Healthcare Sector Skill Council (HSSC),Healthcare Sector Skill Council,Ayurveda Therapy,Vertical Progression: Patient Relation Associate (Level 5),"Apprenticeship Qualification,General Qualification",N.A.,"{""Theory"":""390"",""Practical"":""600"",""EmployabilitySkills"":""60"",""OJT_Mandatory"":""150""}",QG-4.5-HE-00649-2025-V2-HSSC,https://www.nqr.gov.in/qualification/file/QF%20Panchkarma%20Technician.pdf,2041
Yoga Therapy Assistant,QG-04-HE-04232-2025-V2-HSSC,"Health care professionals who demonstrate and assist to provide yoga therapies to the individuals by making appropriate and conducive ambience, based on the prescriptions, providing support to patient before, during and",Healthcare,Level 4,690 Hours,690 Hours,Version ,28 Jul 2022,08 May 2028,Healthcare Sector Skill Council (HSSC),Healthcare Sector Skill Council,Yoga,"Horizontal Progression: Level 4: Yoga Wellness Trainer 
Vertical Progression: Level 5: Patient Relation Associate","Apprenticeship Qualification,General Qualification",N.A.,"{""Theory"":""250"",""Practical"":""210"",""EmployabilitySkills"":""60"",""OJT_Mandatory"":""180""}",QG-04-HE-04232-2025-V2-HSSC,https://www.nqr.gov.in/qualification/file/QF%20Yoga%20Therapy%20Assistant%20%281%29.pdf,2042
Patient Relations Associate,QG-05-HE-04222-2025-V2-HSSC,"Individuals in this job are responsible for assisting and supporting patients & visitors as per their needs, managing inquiries, resolving issues and ensuring a positive patient experience without giving any opinions / assurances on clinical matters. They also handle consultant/department specific administrative tasks in a healthcare setup including maintaining electronic health records, coordinating online/offline consultations and  supervising hospital front desk activities. They should be able to adapt with new advancements/software/apps in 	Customer Relationship Management (CRM). Individuals would  keep oneself abreast with with revision of hospital biiling structure, government schemes and policies related to TPA and insurance services.",Healthcare,Level 5,540 Hours,540 Hours,Version ,08 May 2025,08 May 2027,Healthcare Sector Skill Council (HSSC),Healthcare sector skill council,Healthcare Administration,"Vertical Mobility
NSQF Level 5.5: Deputy Duty Manager (Patient relation Services)","Apprenticeship Qualification,General Qualification",N.A.,"{""Theory"":""180"",""Practical"":""150"",""EmployabilitySkills"":""60"",""OJT_Mandatory"":""150""}",QG-05-HE-04222-2025-V2-HSSC,https://www.nqr.gov.in/qualification/file/Qualification%20file%20_STT_PRA.en.pdf,2043
Sustainable Practices in Packaging and Fixtures,NM-03-OR-04257-2025-V1-RASCI,"This Micro credential describes the performance criteria, knowledge and understanding including generic skills required to sustainable material in all product packaging, fixtures, equipment and display props. This Occupational Standard applies to teams in Buying, Sourcing and Purchasing Departments who work with suppliers providing the packaging for products and fixtures to the business.  They operate independently, under limited  supervision from others, and are responsible for making operational decisions.",Retail,Level 3,30 Hours,30 Hours,Version ,08 May 2025,08 May 2028,Retailers Association Skill Council of India (RASCI),Retailers Association’s Skill Council of India (RASCI),Store Operations,N A,Future Skills Qualification,N.A.,"{""Theory"":""20"",""Practical"":""10"",""EmployabilitySkills"":""0"",""OJT_Mandatory"":""0""}",NM-03-OR-04257-2025-V1-RASCI,https://www.nqr.gov.in/qualification/file/QF_MCr_Sustainable%20PF.pdf,2044
Customer Engagement for Environmental Sustainability,NM-04-OR-04258-2025-V1-RASCI,"This Micro credential describes the performance criteria, knowledge and understanding including generic skills required to share the sustainability initiatives done by the business with their customers and providing them an opportunity to do their part to protect the environment",Retail,Level 4,15 Hours,15 Hours,Version ,08 May 2025,08 May 2028,Retailers Association Skill Council of India (RASCI),Retailers Association’s Skill Council of India (RASCI),Store Operations,N A,Future Skills Qualification,N.A.,"{""Theory"":""10"",""Practical"":""05"",""EmployabilitySkills"":""0"",""OJT_Mandatory"":""0""}",NM-04-OR-04258-2025-V1-RASCI,https://www.nqr.gov.in/qualification/file/QF_MCr_Customer%20Engagement.pdf,2045
Fishing Boat Driver (Small Mechanized vessel),QG-04-AG-03919-2025-V2-ASCI,"A Fishing Boat Driver (Small Mechanized Vessel) is responsible for steering the small mechanised 
boat in the sea. The individual follows the planned route to navigate between the harbour and  identified fishing location. The person also prepares the boat for fishing operation and carries out  its minor repair and maintenance.",Agriculture,Level 4,390 Hours,390 Hours,Version ,08 May 2025,31 Oct 2025,Agriculture Skill Council of India (ASCI),Agriculture Skill Council of India,"Inland and Coastal Water Fishery Workers, Other","Fishing Boat Driver (Small Mechanized vessels) (L4), Marine fishing cadet (L5)","Apprenticeship Qualification,General Qualification,Upskilling Qualification",N.A.,"{""Theory"":""60"",""Practical"":""150"",""EmployabilitySkills"":""60"",""OJT_Mandatory"":""120""}",QG-04-AG-03919-2025-V2-ASCI,https://www.nqr.gov.in/qualification/file/EngIsh_QFile-Fishing%20Boat%20Driver%20%28Small%20Mechanized%20vessel%29.pdf,2046
Hydroponics Technician,QG-04-AG-00289-2025-V2-ASCI,"A Hydroponics Technician grows plants in a controlled environment using alternative materials 
instead of soil as per the hydroponics farming method. The individual is also responsible for setting 
and maintaining a hydroponic farm apart from maintaining, harvesting and marketing the plants 
grown at the farm.",Agriculture,Level 4,390 Hours,390 Hours,Version ,08 May 2025,08 May 2028,Agriculture Skill Council of India (ASCI),Agriculture Skill Council of India,"Agricultural Technicians, Others","Hydroponics Technician(L4), Horticulture Supervisor (Garden/Nursery/ Turf) (L5)","Apprenticeship Qualification,Future Skills Qualification,Upskilling Qualification",N.A.,"{""Theory"":""90"",""Practical"":""120"",""EmployabilitySkills"":""60"",""OJT_Mandatory"":""120""}",QG-04-AG-00289-2025-V2-ASCI,https://www.nqr.gov.in/qualification/file/ENglish_Q-file-Hydroponics%20technician.pdf,2047
Mining Mate/Sirdar,QG-05-MG-04064-2025-V2-SCMS,"The Mining Mate/Sirdar supervises mineral production, oversee the safety of mining operations and
supervises blasting operations in metal/coal mines.",Mining,Level 5,720 Hours,600 Hours,Version ,06 May 2025,06 May 2028,Skill Council for Mining Sector (SCMS),Skill Council for Mining Sector,"Drilling/Cutting, Shot firing/Blasting, Loading and Hauling - Opencast, Loading and Hauling - Underground, Specialized Operations",NSQF Level 5.5 (Vertical)- Mine Foreman/ Overman,General Qualification,N.A.,"{""Theory"":""190"",""Practical"":""350"",""EmployabilitySkills"":""60"",""OJT_Mandatory"":""0""}",QG-05-MG-04064-2025-V2-SCMS,https://www.nqr.gov.in/qualification/file/QF_Mining%20Mate_Sirdar_10.07.2025.pdf,2048
Chick Sexer and Grader,QG-03-AG-03917-2025-V2-ASCI,"A Chick Sexer and Grader is responsible for assessing the chick’s quality after hatching and 
separating the males from females as per the standards followed by the organization",Agriculture,Level 3,270 Hours,270 Hours,Version ,08 May 2025,30 Apr 2028,Agriculture Skill Council of India (ASCI),Agriculture Skill Council of India,"Poultry Farm Workers, Other","Chick Sexer and Grader(L3), Quality Control Technician (Hatchery)/Incubation Technician (L4)","Apprenticeship Qualification,General Qualification,Upskilling Qualification",N.A.,"{""Theory"":""60"",""Practical"":""120"",""EmployabilitySkills"":""30"",""OJT_Mandatory"":""60""}",QG-03-AG-03917-2025-V2-ASCI,https://www.nqr.gov.in/qualification/file/Q-file_English_Chick%20Sexer%20and%20Grader.pdf,2049
Coffee Plantation Worker,QG-2.5-AG-03910-2025-V2-ASCI,"A Coffee Plantation Worker is responsible for assisting in carrying out coffee cultivation including activities 
such as preparing the coffee seeds, raising seedlings in the nursery along with preparing the field, 
transplanting and maintaining the crop. The individual also assists in harvesting the coffee crop and 
carrying out its post-harvest management.",Agriculture,Level 2.5,240 Hours,240 Hours,Version ,08 May 2025,30 Apr 2028,Agriculture Skill Council of India (ASCI),Agriculture Skill Council of India,Coffee Plantation Worker,"Coffee Plantation Worker (L2.5), Coffee Entrepreneur (Small Unit) (L3)","Apprenticeship Qualification,General Qualification,Upskilling Qualification",N.A.,"{""Theory"":""80"",""Practical"":""130"",""EmployabilitySkills"":""30"",""OJT_Mandatory"":""0""}",QG-2.5-AG-03910-2025-V2-ASCI,https://www.nqr.gov.in/qualification/file/English_Q-file_Coffee%20Plantation%20Worker_V4.0.pdf,2050
Technician - Machine Maintenance (Mechatronics),QG-4.5-PW-04169-2025-V1-MSMETC,"This is a course specially designed to upgrade the Skills of ITI passed in the field of Industrial Maintenance to deal with the technological change, in which learners tend to get excellent career opportunities in the field of Machine maintenance.",Power,Level 4.5,1200 Hours,1200 Hours,Version ,08 May 2025,08 May 2028,"MSME Technology Centre, Ministry of Micro Small And Medium Enterprises, New Delhi",MSME Technology centre,Maintenance,Senior Technician → Supervisor,General Qualification,N.A.,"{""Theory"":""180"",""Practical"":""720"",""EmployabilitySkills"":""120"",""OJT_Mandatory"":""180""}",QG-4.5-PW-04169-2025-V1-MSMETC,https://www.nqr.gov.in/qualification/file/QF-%20TECHNECIAN%20-%20MACHINE%20MAINTENANCE%20MECHATRONICS%20%282%29.pdf,2051
Aquarium Technician,QG-04-AG-03909-2025-V2-ASCI,"An Aquarium Technician is responsible for providing service for maintenance of aquarium and accessories 
and fish keeping which is aesthetically pleasing and sound for the fish and customers",Agriculture,Level 4,390 Hours,390 Hours,Version ,08 May 2025,31 Oct 2025,Agriculture Skill Council of India (ASCI),Agriculture Skill Council of India,Aquaculture Workers,"Aquarium Technician (L4), Senior Aquarium Technician (L5)","Apprenticeship Qualification,General Qualification,Upskilling Qualification",N.A.,"{""Theory"":""90"",""Practical"":""120"",""EmployabilitySkills"":""90"",""OJT_Mandatory"":""90""}",QG-04-AG-03909-2025-V2-ASCI,https://www.nqr.gov.in/qualification/file/English_Q-file_Aquarium%20Technician_V4.0.pdf,2052
